Draft_Year,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Pass_Cmp,Pass_Att,Pass_Yds,Pass_TD,Pass_Int,Rush_Att,Rush_Yds,Rush_TD,Receive_Rec,Receive_Yds,Receive_TD,Solo,Int,Sk,College_Univ,College Stats,Prospect_Grade,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle
2014,1,1,HOU,Jadeveon Clowney,DE,21,2024.0,0,3,10,62.0,38.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,1.0,58.0,South Carolina,College Stats,7.5,6-5,266.0,4.53,37.5,21.0,124.0,7.27,4.43
2014,1,2,STL,Greg Robinson,T,21,2019.0,0,0,5,24.0,13.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Auburn,College Stats,7.0,6-5,332.0,4.92,28.5,32.0,113.0,7.8,4.86
2014,1,3,JAX,Blake Bortles,QB,22,2019.0,0,0,5,44.0,44.0,78.0,1562.0,2634.0,17649.0,103.0,75.0,283.0,1766.0,8.0,1.0,20.0,1.0,,,,Central Florida,College Stats,6.8,6-5,232.0,4.93,32.5,,115.0,7.08,4.21
2014,1,4,BUF,Sammy Watkins,WR,21,2022.0,0,0,6,43.0,20.0,111.0,0.0,1.0,0.0,0.0,1.0,11.0,76.0,0.0,364.0,5384.0,34.0,1.0,,,Clemson,College Stats,7.1,6-1,211.0,4.43,34.0,16.0,126.0,6.95,4.34
2014,1,5,OAK,Khalil Mack,LB,23,2024.0,3,9,10,102.0,41.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.0,3.0,107.5,Buffalo,College Stats,7.0,6-3,251.0,4.65,40.0,23.0,128.0,7.08,4.18
2014,1,6,ATL,Jake Matthews,T,22,2024.0,0,1,11,72.0,72.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Texas A&M,College Stats,7.0,6-5,308.0,5.07,30.5,24.0,105.0,7.34,4.47
2014,1,7,TAM,Mike Evans,WR,21,2024.0,0,6,11,79.0,79.0,168.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,836.0,12684.0,105.0,5.0,,,Texas A&M,College Stats,6.7,6-5,231.0,4.53,37.0,12.0,,7.08,4.26
2014,1,8,CLE,Justin Gilbert,DB,22,2016.0,0,0,0,4.0,3.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,1.0,,Oklahoma St.,College Stats,6.8,6-0,202.0,4.37,35.5,20.0,126.0,6.92,
2014,1,9,MIN,Anthony Barr,LB,22,2023.0,0,4,7,56.0,52.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,5.0,18.5,UCLA,College Stats,7.0,6-5,255.0,4.66,34.5,15.0,119.0,6.82,4.19
2014,1,10,DET,Eric Ebron,TE,21,2021.0,0,1,4,29.0,15.0,106.0,0.0,1.0,0.0,0.0,0.0,5.0,-6.0,3.0,351.0,3837.0,33.0,,,,North Carolina,College Stats,6.8,6-4,250.0,4.6,32.0,24.0,120.0,,
2014,1,11,TEN,Taylor Lewan,T,23,2022.0,0,3,7,48.0,48.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0,,,,Michigan,College Stats,6.7,6-7,309.0,4.87,30.5,29.0,117.0,7.39,4.49
2014,1,12,NYG,Odell Beckham Jr.,WR,21,2024.0,0,3,6,59.0,41.0,119.0,4.0,6.0,144.0,2.0,0.0,23.0,170.0,1.0,575.0,7987.0,59.0,3.0,,,LSU,College Stats,6.4,5-11,198.0,4.38,38.5,7.0,122.0,6.69,3.94
2014,1,13,STL,Aaron Donald,DT,23,2023.0,8,10,10,123.0,123.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,,111.0,Pittsburgh,College Stats,5.9,6-1,285.0,4.68,32.0,35.0,116.0,7.11,4.39
2014,1,14,CHI,Kyle Fuller,DB,22,2022.0,1,2,5,48.0,45.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,19.0,,Virginia Tech,College Stats,5.9,6-0,190.0,4.49,38.5,12.0,128.0,6.9,4.19
2014,1,14,CHI,Kyle Fuller,DB,22,2022.0,1,2,5,48.0,45.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,19.0,,Virginia Tech,College Stats,5.9,6-5,307.0,5.24,26.0,23.0,96.0,7.71,4.84
2014,1,15,PIT,Ryan Shazier,LB,22,2017.0,0,2,3,27.0,27.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,7.0,7.0,Ohio St.,College Stats,6.7,6-1,237.0,4.58,42.0,25.0,130.0,6.91,4.21
2014,1,16,DAL,Zack Martin,G,23,2024.0,7,9,11,103.0,103.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Notre Dame,College Stats,6.4,6-4,308.0,5.22,28.0,29.0,106.0,7.65,4.59
2014,1,17,BAL,C.J. Mosley,LB,22,2024.0,0,5,8,81.0,59.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.0,12.0,12.0,Alabama,College Stats,7.0,6-2,234.0,4.65,35.0,,118.0,7.3,4.4
