Draft_Year,Player,Pos,wAV,DrAV,G,College_Univ,Prospect_Grade,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,G_college,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Rate
2014,Blake Bortles,QB,44.0,44.0,78.0,Central Florida,6.8,6-5,232.0,4.93,32.5,,115.0,7.08,4.21,37.0,585.0,891.0,65.7,7598.0,56.0,6.3,19.0,2.1,153.8
2014,Johnny Manziel,QB,4.0,4.0,14.0,Texas A&M,6.4,6-0,207.0,4.68,31.5,,113.0,6.75,4.03,26.0,595.0,863.0,68.9,7820.0,63.0,7.3,22.0,2.5,164.1
2014,Teddy Bridgewater,QB,49.0,22.0,79.0,Louisville,6.8,6-2,214.0,,30.0,,113.0,7.17,4.2,39.0,781.0,1142.0,68.4,9817.0,72.0,6.3,24.0,2.1,157.2
2014,Derek Carr,QB,93.0,80.0,169.0,Fresno St.,6.3,6-2,214.0,4.69,34.5,,110.0,,4.2,44.0,1087.0,1630.0,66.7,12843.0,113.0,6.9,24.0,1.5,152.8
2014,Jimmy Garoppolo,QB,47.0,2.0,82.0,Eastern Illinois,5.9,6-2,226.0,4.97,30.5,,110.0,7.04,4.26,,,,,,,,,,
2015,Jameis Winston,QB,62.0,54.0,105.0,Florida St.,7.0,6-4,231.0,4.97,28.5,,103.0,7.16,4.36,27.0,562.0,851.0,66.0,7964.0,65.0,7.6,28.0,3.3,163.3
2015,Marcus Mariota,QB,56.0,43.0,93.0,Oregon,6.8,6-4,222.0,4.52,36.0,,121.0,6.87,4.11,41.0,779.0,1167.0,66.8,10796.0,105.0,9.0,14.0,1.2,171.8
2016,Jared Goff,QB,96.0,45.0,134.0,California,7.0,6-4,215.0,4.82,27.0,,110.0,7.17,4.47,37.0,977.0,1569.0,62.3,12200.0,96.0,6.1,30.0,1.9,144.0
2016,Carson Wentz,QB,60.0,43.0,98.0,North Dakota St.,6.7,6-5,237.0,4.77,30.5,,118.0,6.86,4.15,,,,,,,,,,
2016,Paxton Lynch,QB,2.0,2.0,5.0,Memphis,6.8,6-7,244.0,4.86,36.0,,118.0,7.14,4.26,38.0,758.0,1205.0,62.9,8863.0,59.0,4.9,23.0,1.9,137.0
2016,Christian Hackenberg,QB,,,,Penn St.,6.1,6-4,223.0,4.78,31.0,,114.0,7.04,4.33,38.0,693.0,1235.0,56.1,8457.0,48.0,3.9,31.0,2.5,121.4
2017,Mitchell Trubisky,QB,39.0,34.0,78.0,North Carolina,7.0,6-2,222.0,4.67,27.5,,116.0,6.87,4.25,34.0,386.0,572.0,67.5,4762.0,41.0,7.2,10.0,1.7,157.6
2017,Patrick Mahomes,QB,106.0,106.0,112.0,Texas Tech,6.3,6-2,225.0,4.8,30.0,,114.0,6.88,4.08,32.0,857.0,1349.0,63.5,11252.0,93.0,6.9,29.0,2.1,152.0
2017,Deshaun Watson,QB,58.0,52.0,73.0,Clemson,6.8,6-2,221.0,4.66,32.5,,119.0,6.95,4.31,38.0,814.0,1207.0,67.4,10163.0,90.0,7.5,32.0,2.7,157.5
2017,DeShone Kizer,QB,6.0,5.0,18.0,Notre Dame,6.3,6-4,233.0,4.83,30.5,,107.0,7.4,4.53,25.0,423.0,696.0,60.8,5809.0,47.0,6.8,19.0,2.7,147.7
2018,Baker Mayfield,QB,70.0,37.0,106.0,Oklahoma,6.7,6-1,215.0,4.84,29.0,,111.0,7.0,4.28,48.0,1026.0,1497.0,68.5,14607.0,131.0,8.8,30.0,2.0,175.4
2018,Sam Darnold,QB,38.0,15.0,83.0,USC,7.1,6-3,221.0,4.85,26.5,,105.0,6.96,4.4,27.0,549.0,846.0,64.9,7229.0,57.0,6.7,22.0,2.6,153.7
2018,Josh Allen,QB,98.0,98.0,111.0,Wyoming,6.4,6-5,237.0,4.75,33.5,,119.0,6.9,4.4,27.0,365.0,649.0,56.2,5066.0,44.0,6.8,21.0,3.2,137.7
2018,Josh Allen,QB,98.0,98.0,111.0,Wyoming,6.4,6-5,262.0,4.63,,28.0,118.0,7.15,4.23,27.0,365.0,649.0,56.2,5066.0,44.0,6.8,21.0,3.2,137.7
2018,Josh Rosen,QB,3.0,2.0,24.0,UCLA,6.7,6-4,226.0,4.92,31.0,,111.0,7.09,4.28,30.0,712.0,1170.0,60.9,9341.0,59.0,5.0,26.0,2.2,140.1
2018,Lamar Jackson,QB,101.0,101.0,103.0,Louisville,6.4,6-2,216.0,,,,,,,38.0,619.0,1086.0,57.0,9043.0,69.0,6.4,27.0,2.5,142.9
2018,Lamar Jackson,QB,101.0,101.0,103.0,Louisville,6.4,6-2,208.0,4.58,36.5,10.0,122.0,,,38.0,619.0,1086.0,57.0,9043.0,69.0,6.4,27.0,2.5,142.9
2019,Kyler Murray,QB,69.0,69.0,82.0,Oklahoma,6.8,5-10,207.0,,,,,,,29.0,350.0,519.0,67.4,5406.0,50.0,9.6,14.0,2.7,181.3
2019,Daniel Jones,QB,42.0,42.0,70.0,Duke,6.3,6-5,221.0,4.81,33.5,,120.0,7.0,4.41,36.0,764.0,1275.0,59.9,8201.0,52.0,4.1,29.0,2.3,122.9
2019,Dwayne Haskins,QB,4.0,4.0,16.0,Ohio St.,6.7,6-3,231.0,5.04,28.5,,,,,22.0,413.0,590.0,70.0,5396.0,54.0,9.2,9.0,1.5,174.0
2019,Drew Lock,QB,14.0,12.0,36.0,Missouri,6.4,6-4,228.0,4.69,31.0,,112.0,7.03,4.12,50.0,883.0,1553.0,56.9,12193.0,99.0,6.4,39.0,2.5,138.8
2020,Joe Burrow,QB,58.0,58.0,69.0,LSU,7.07,6-3,221.0,,,,,,,39.0,650.0,945.0,68.8,8852.0,78.0,8.3,11.0,1.2,172.4
2020,Tua Tagovailoa,QB,45.0,45.0,64.0,Alabama,6.77,6-0,217.0,,,,,,,33.0,474.0,684.0,69.3,7442.0,87.0,12.7,11.0,1.6,199.4
2020,Justin Herbert,QB,64.0,64.0,79.0,Oregon,6.45,6-6,236.0,4.68,35.5,,123.0,7.06,4.46,44.0,827.0,1293.0,64.0,10541.0,95.0,7.3,23.0,1.8,153.1
