Draft_Year,Player,Pos,wAV,DrAV,G,College_Univ,Prospect_Grade,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,G_college,Att,Yds,Y/A,TD,Y/G,Rec,Yds.1,Y/R,TD.1,G_college,Att_college,Yds_college,Y/A_college,TD_college,Y/G_college,Rec_college,Yds.1_college,Y/R_college,TD.1_college
2014,Bishop Sankey,RB,6.0,6.0,29.0,Washington,5.8,5-9,209.0,4.49,35.5,26.0,126.0,6.75,4.0,38.0,644.0,3496.0,5.4,37.0,92.0,67.0,567.0,8.5,1.0,38.0,644.0,3496.0,5.4,37.0,92.0,67.0,567.0,8.5,1.0
2014,Jeremy Hill,RB,21.0,21.0,55.0,LSU,6.3,6-1,233.0,4.56,29.0,20.0,113.0,,,24.0,345.0,2156.0,6.2,28.0,89.8,26.0,254.0,9.8,0.0,24.0,345.0,2156.0,6.2,28.0,89.8,26.0,254.0,9.8,0.0
2014,Carlos Hyde,RB,32.0,18.0,102.0,Ohio St.,6.7,6-0,230.0,4.62,34.5,19.0,114.0,,,41.0,523.0,3198.0,6.1,37.0,78.0,34.0,271.0,8.0,4.0,41.0,523.0,3198.0,6.1,37.0,78.0,34.0,271.0,8.0,4.0
2015,Todd Gurley,RB,54.0,50.0,88.0,Georgia,6.8,6-1,222.0,4.52,,17.0,,,,30.0,510.0,3285.0,6.4,36.0,109.5,65.0,615.0,9.5,6.0,30.0,510.0,3285.0,6.4,36.0,109.5,65.0,615.0,9.5,6.0
2015,Melvin Gordon,RB,51.0,38.0,112.0,Wisconsin,6.8,6-1,215.0,4.52,35.0,19.0,126.0,7.04,4.07,45.0,631.0,4915.0,7.8,45.0,109.2,22.0,228.0,10.4,4.0,45.0,631.0,4915.0,7.8,45.0,109.2,22.0,228.0,10.4,4.0
2015,T.J. Yeldon,RB,20.0,19.0,60.0,Alabama,6.2,6-1,226.0,4.61,36.0,22.0,117.0,7.19,4.22,39.0,576.0,3322.0,5.8,37.0,85.2,46.0,494.0,10.7,2.0,39.0,576.0,3322.0,5.8,37.0,85.2,46.0,494.0,10.7,2.0
2015,Ameer Abdullah,RB,21.0,10.0,141.0,Nebraska,6.4,5-9,205.0,4.6,42.5,24.0,130.0,6.79,3.95,53.0,813.0,4588.0,5.6,39.0,86.6,73.0,690.0,9.5,7.0,53.0,813.0,4588.0,5.6,39.0,86.6,73.0,690.0,9.5,7.0
2016,Ezekiel Elliott,RB,68.0,65.0,135.0,Ohio St.,7.3,6-0,225.0,4.47,32.5,,118.0,,,35.0,592.0,3961.0,6.7,43.0,113.2,58.0,449.0,7.7,1.0,35.0,592.0,3961.0,6.7,43.0,113.2,58.0,449.0,7.7,1.0
2016,Derrick Henry,RB,76.0,61.0,136.0,Alabama,6.7,6-3,247.0,4.54,37.0,22.0,130.0,7.2,4.38,39.0,602.0,3591.0,6.0,42.0,92.1,17.0,285.0,16.8,3.0,39.0,602.0,3591.0,6.0,42.0,92.1,17.0,285.0,16.8,3.0
2017,Leonard Fournette,RB,38.0,19.0,81.0,LSU,7.1,6-0,240.0,4.51,28.5,,,,,32.0,616.0,3830.0,6.2,40.0,119.7,41.0,526.0,12.8,1.0,32.0,616.0,3830.0,6.2,40.0,119.7,41.0,526.0,12.8,1.0
2017,Christian McCaffrey,RB,74.0,45.0,95.0,Stanford,6.4,5-11,202.0,4.48,37.5,10.0,121.0,6.57,4.22,38.0,632.0,3922.0,6.2,21.0,103.2,99.0,1206.0,12.2,10.0,38.0,632.0,3922.0,6.2,21.0,103.2,99.0,1206.0,12.2,10.0
2017,Dalvin Cook,RB,52.0,51.0,90.0,Florida St.,7.0,5-10,210.0,4.49,30.5,22.0,116.0,7.27,4.53,38.0,687.0,4464.0,6.5,46.0,117.5,79.0,935.0,11.8,2.0,38.0,687.0,4464.0,6.5,46.0,117.5,79.0,935.0,11.8,2.0
2017,Joe Mixon,RB,56.0,49.0,111.0,Oklahoma,6.4,,,,,,,,,25.0,300.0,2027.0,6.8,17.0,81.1,65.0,894.0,13.8,9.0,25.0,300.0,2027.0,6.8,17.0,81.1,65.0,894.0,13.8,9.0
