Draft_Year,Player,Pos,wAV,DrAV,G,College_Univ,Prospect_Grade,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,G_college,Rec,Yds,Y/R,TD,Y/G,Att,G_college,Rec_college,Yds_college,Y/R_college,TD_college,Y/G_college,Att_college,G_college,Rec_college,Yds_college,Y/R_college,TD_college,Y/G_college,Att_college
2014,Eric Ebron,TE,29.0,15.0,106.0,North Carolina,6.8,6-4,250.0,4.6,32.0,24.0,120.0,,,34.0,112.0,1805.0,16.1,8.0,53.1,2.0,34.0,112.0,1805.0,16.1,8.0,53.1,2.0,34.0,112.0,1805.0,16.1,8.0,53.1,2.0
2014,Austin Seferian-Jenkins,TE,9.0,5.0,43.0,Washington,6.1,6-5,262.0,4.75,,20.0,,,,38.0,146.0,1840.0,12.6,21.0,48.4,0.0,38.0,146.0,1840.0,12.6,21.0,48.4,0.0,38.0,146.0,1840.0,12.6,21.0,48.4,0.0
2014,Jace Amaro,TE,4.0,3.0,17.0,Texas Tech,5.9,6-5,265.0,4.74,33.0,28.0,118.0,7.42,4.3,32.0,138.0,1818.0,13.2,13.0,56.8,0.0,32.0,138.0,1818.0,13.2,13.0,56.8,0.0,32.0,138.0,1818.0,13.2,13.0,56.8,0.0
2014,Troy Niklas,TE,1.0,1.0,41.0,Notre Dame,6.2,6-6,270.0,4.84,32.0,27.0,114.0,7.57,4.55,38.0,37.0,573.0,15.5,6.0,15.1,0.0,38.0,37.0,573.0,15.5,6.0,15.1,0.0,38.0,37.0,573.0,15.5,6.0,15.1,0.0
2015,Devin Funchess,TE,20.0,20.0,62.0,Michigan,6.1,6-4,232.0,4.7,38.5,17.0,122.0,,,37.0,126.0,1715.0,13.6,15.0,46.4,8.0,37.0,126.0,1715.0,13.6,15.0,46.4,8.0,37.0,126.0,1715.0,13.6,15.0,46.4,8.0
2015,Maxx Williams,TE,8.0,4.0,83.0,Minnesota,6.2,6-4,249.0,4.78,34.5,17.0,117.0,7.3,4.37,25.0,61.0,986.0,16.2,13.0,39.4,1.0,25.0,61.0,986.0,16.2,13.0,39.4,1.0,25.0,61.0,986.0,16.2,13.0,39.4,1.0
2016,Hunter Henry,TE,32.0,16.0,119.0,Arkansas,7.0,6-5,250.0,4.79,,13.0,,,,36.0,116.0,1661.0,14.3,9.0,46.1,0.0,36.0,116.0,1661.0,14.3,9.0,46.1,0.0,36.0,116.0,1661.0,14.3,9.0,46.1,0.0
2017,O.J. Howard,TE,13.0,12.0,72.0,Alabama,7.0,6-6,251.0,4.51,30.0,22.0,121.0,6.85,4.16,54.0,114.0,1726.0,15.1,7.0,32.0,0.0,54.0,114.0,1726.0,15.1,7.0,32.0,0.0,54.0,114.0,1726.0,15.1,7.0,32.0,0.0
2017,Evan Engram,TE,34.0,18.0,108.0,Mississippi,6.4,6-3,234.0,4.42,36.0,19.0,125.0,6.92,4.23,45.0,162.0,2320.0,14.3,15.0,51.6,0.0,45.0,162.0,2320.0,14.3,15.0,51.6,0.0,45.0,162.0,2320.0,14.3,15.0,51.6,0.0
2017,David Njoku,TE,26.0,26.0,106.0,Miami (FL),6.8,6-4,246.0,4.64,37.5,21.0,133.0,6.97,4.34,26.0,64.0,1060.0,16.6,9.0,40.8,0.0,26.0,64.0,1060.0,16.6,9.0,40.8,0.0,26.0,64.0,1060.0,16.6,9.0,40.8,0.0
2017,Gerald Everett,TE,22.0,10.0,124.0,South Alabama,6.4,6-3,239.0,4.62,37.5,22.0,126.0,6.99,4.33,37.0,107.0,1584.0,14.8,13.0,42.8,8.0,37.0,107.0,1584.0,14.8,13.0,42.8,8.0,37.0,107.0,1584.0,14.8,13.0,42.8,8.0
2017,Adam Shaheen,TE,4.0,2.0,55.0,Ashland,6.2,6-6,278.0,4.79,32.5,24.0,121.0,7.09,4.38,,,,,,,,,,,,,,,,,,,,,
2018,Hayden Hurst,TE,17.0,6.0,88.0,South Carolina,6.4,6-4,250.0,4.67,31.5,,120.0,7.19,4.37,38.0,100.0,1281.0,12.8,3.0,33.7,11.0,38.0,100.0,1281.0,12.8,3.0,33.7,11.0,38.0,100.0,1281.0,12.8,3.0,33.7,11.0
2018,Mike Gesicki,TE,26.0,19.0,115.0,Penn St.,6.4,6-5,247.0,4.54,41.5,22.0,129.0,6.76,4.1,51.0,129.0,1481.0,11.5,15.0,29.0,0.0,51.0,129.0,1481.0,11.5,15.0,29.0,0.0,51.0,129.0,1481.0,11.5,15.0,29.0,0.0
2018,Dallas Goedert,TE,35.0,35.0,93.0,South Dakota St.,6.3,6-5,256.0,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2019,T.J. Hockenson,TE,30.0,16.0,82.0,Iowa,6.8,6-5,251.0,4.7,37.5,17.0,123.0,7.02,4.18,26.0,73.0,1080.0,14.8,9.0,41.5,1.0,26.0,73.0,1080.0,14.8,9.0,41.5,1.0,26.0,73.0,1080.0,14.8,9.0,41.5,1.0
2019,Noah Fant,TE,24.0,14.0,95.0,Iowa,6.4,6-4,249.0,4.5,39.5,20.0,127.0,6.81,4.22,35.0,78.0,1083.0,13.9,19.0,30.9,4.0,35.0,78.0,1083.0,13.9,19.0,30.9,4.0,35.0,78.0,1083.0,13.9,19.0,30.9,4.0
2019,Irv Smith Jr.,TE,9.0,8.0,54.0,Alabama,6.4,,,,,,,,,38.0,58.0,838.0,14.4,10.0,22.1,0.0,38.0,58.0,838.0,14.4,10.0,22.1,0.0,38.0,58.0,838.0,14.4,10.0,22.1,0.0
2019,Drew Sample,TE,6.0,6.0,78.0,Washington,6.1,6-5,255.0,4.71,33.5,,115.0,7.15,4.31,52.0,46.0,487.0,10.6,5.0,9.4,0.0,52.0,46.0,487.0,10.6,5.0,9.4,0.0,52.0,46.0,487.0,10.6,5.0,9.4,0.0
2020,Cole Kmet,TE,23.0,23.0,84.0,Notre Dame,6.34,6-6,262.0,4.7,37.0,,123.0,7.44,4.41,35.0,60.0,691.0,11.5,6.0,19.7,0.0,35.0,60.0,691.0,11.5,6.0,19.7,0.0,35.0,60.0,691.0,11.5,6.0,19.7,0.0
2021,Kyle Pitts,TE,21.0,21.0,61.0,Florida,7.19,6-5,245.0,4.44,33.5,22.0,129.0,7.12,4.3,32.0,100.0,1492.0,14.9,18.0,46.6,0.0,32.0,100.0,1492.0,14.9,18.0,46.6,0.0,32.0,100.0,1492.0,14.9,18.0,46.6,0.0
2021,Pat Freiermuth,TE,18.0,18.0,61.0,Penn St.,6.3,6-5,251.0,,,26.0,,,,30.0,92.0,1185.0,12.9,16.0,39.5,0.0,30.0,92.0,1185.0,12.9,16.0,39.5,0.0,30.0,92.0,1185.0,12.9,16.0,39.5,0.0
2022,Trey McBride,TE,20.0,20.0,49.0,Colorado St.,6.31,6-4,246.0,,33.0,18.0,117.0,,,40.0,164.0,2100.0,12.8,10.0,52.5,3.0,40.0,164.0,2100.0,12.8,10.0,52.5,3.0,40.0,164.0,2100.0,12.8,10.0,52.5,3.0
2023,Dalton Kincaid,TE,12.0,12.0,29.0,Utah,6.48,6-4,246.0,,,,,,,31.0,107.0,1414.0,13.2,16.0,45.6,1.0,31.0,107.0,1414.0,13.2,16.0,45.6,1.0,31.0,107.0,1414.0,13.2,16.0,45.6,1.0
2023,Sam LaPorta,TE,17.0,17.0,33.0,Iowa,6.18,6-3,245.0,,35.0,,123.0,6.91,4.25,46.0,153.0,1786.0,11.7,5.0,38.8,2.0,46.0,153.0,1786.0,11.7,5.0,38.8,2.0,46.0,153.0,1786.0,11.7,5.0,38.8,2.0
2023,Michael Mayer,TE,4.0,4.0,25.0,Notre Dame,6.44,6-5,249.0,,32.5,,118.0,,,36.0,180.0,2099.0,11.7,18.0,58.3,0.0,36.0,180.0,2099.0,11.7,18.0,58.3,0.0,36.0,180.0,2099.0,11.7,18.0,58.3,0.0
2023,Luke Musgrave,TE,3.0,3.0,18.0,Oregon St.,6.49,6-6,253.0,,36.0,,125.0,,,34.0,47.0,633.0,13.5,2.0,18.6,1.0,34.0,47.0,633.0,13.5,2.0,18.6,1.0,34.0,47.0,633.0,13.5,2.0,18.6,1.0
2023,Luke Schoonmaker,TE,3.0,3.0,34.0,Michigan,6.36,6-5,251.0,,33.5,,127.0,,4.27,44.0,54.0,637.0,11.8,7.0,14.5,0.0,44.0,54.0,637.0,11.8,7.0,14.5,0.0,44.0,54.0,637.0,11.8,7.0,14.5,0.0
2023,Brenton Strange,TE,3.0,3.0,31.0,Penn St.,6.21,6-4,253.0,,36.0,23.0,124.0,7.25,4.46,37.0,70.0,755.0,10.8,11.0,20.4,1.0,37.0,70.0,755.0,10.8,11.0,20.4,1.0,37.0,70.0,755.0,10.8,11.0,20.4,1.0
2024,Brock Bowers,TE,9.0,9.0,17.0,Georgia,6.71,6-3,243.0,,,,,,,40.0,175.0,2538.0,14.5,26.0,63.5,19.0,40.0,175.0,2538.0,14.5,26.0,63.5,19.0,40.0,175.0,2538.0,14.5,26.0,63.5,19.0
2024,Ben Sinnott,TE,0.0,0.0,17.0,Kansas St.,6.13,6-4,250.0,4.68,40.0,,126.0,6.82,4.23,38.0,82.0,1138.0,13.9,10.0,29.9,3.0,38.0,82.0,1138.0,13.9,10.0,29.9,3.0,38.0,82.0,1138.0,13.9,10.0,29.9,3.0
