Draft_Year,Player,Pos,wAV,DrAV,G,College_Univ,Prospect_Grade,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,G_college,Rec,Yds,Y/R,TD,Y/G,Att,G_college,Rec_college,Yds_college,Y/R_college,TD_college,Y/G_college,Att_college,G_college,Rec_college,Yds_college,Y/R_college,TD_college,Y/G_college,Att_college,G_college,Rec_college,Yds_college,Y/R_college,TD_college,Y/G_college,Att_college,G_college,Rec_college,Yds_college,Y/R_college,TD_college,Y/G_college,Att_college,G_college,Rec_college,Yds_college,Y/R_college,TD_college,Y/G_college,Att_college
2014,Sammy Watkins,WR,43.0,20.0,111.0,Clemson,7.1,6-1,211.0,4.43,34.0,16.0,126.0,6.95,4.34,36.0,240.0,3391.0,14.1,27.0,94.2,52.0,36.0,240.0,3391.0,14.1,27.0,94.2,52.0,36.0,240.0,3391.0,14.1,27.0,94.2,52.0,36.0,240.0,3391.0,14.1,27.0,94.2,52.0,36.0,240.0,3391.0,14.1,27.0,94.2,52.0,36.0,240.0,3391.0,14.1,27.0,94.2,52.0
2014,Mike Evans,WR,79.0,79.0,168.0,Texas A&M,6.7,6-5,231.0,4.53,37.0,12.0,,7.08,4.26,26.0,151.0,2499.0,16.5,17.0,96.1,0.0,26.0,151.0,2499.0,16.5,17.0,96.1,0.0,26.0,151.0,2499.0,16.5,17.0,96.1,0.0,26.0,151.0,2499.0,16.5,17.0,96.1,0.0,26.0,151.0,2499.0,16.5,17.0,96.1,0.0,26.0,151.0,2499.0,16.5,17.0,96.1,0.0
2014,Odell Beckham Jr.,WR,59.0,41.0,119.0,LSU,6.4,5-11,198.0,4.38,38.5,7.0,122.0,6.69,3.94,40.0,143.0,2340.0,16.4,12.0,58.5,7.0,40.0,143.0,2340.0,16.4,12.0,58.5,7.0,40.0,143.0,2340.0,16.4,12.0,58.5,7.0,40.0,143.0,2340.0,16.4,12.0,58.5,7.0,40.0,143.0,2340.0,16.4,12.0,58.5,7.0,40.0,143.0,2340.0,16.4,12.0,58.5,7.0
2014,Brandin Cooks,WR,72.0,21.0,158.0,Oregon St.,6.3,5-10,189.0,4.33,36.0,16.0,120.0,6.76,3.81,38.0,226.0,3272.0,14.5,24.0,86.1,61.0,38.0,226.0,3272.0,14.5,24.0,86.1,61.0,38.0,226.0,3272.0,14.5,24.0,86.1,61.0,38.0,226.0,3272.0,14.5,24.0,86.1,61.0,38.0,226.0,3272.0,14.5,24.0,86.1,61.0,38.0,226.0,3272.0,14.5,24.0,86.1,61.0
2014,Kelvin Benjamin,WR,22.0,18.0,61.0,Florida St.,6.8,6-5,240.0,4.61,32.5,13.0,119.0,7.33,4.39,28.0,84.0,1506.0,17.9,19.0,53.8,2.0,28.0,84.0,1506.0,17.9,19.0,53.8,2.0,28.0,84.0,1506.0,17.9,19.0,53.8,2.0,28.0,84.0,1506.0,17.9,19.0,53.8,2.0,28.0,84.0,1506.0,17.9,19.0,53.8,2.0,28.0,84.0,1506.0,17.9,19.0,53.8,2.0
2014,Marqise Lee,WR,17.0,17.0,59.0,USC,6.7,6-0,192.0,4.52,38.0,,127.0,,4.01,36.0,248.0,3655.0,14.7,29.0,101.5,24.0,36.0,248.0,3655.0,14.7,29.0,101.5,24.0,36.0,248.0,3655.0,14.7,29.0,101.5,24.0,36.0,248.0,3655.0,14.7,29.0,101.5,24.0,36.0,248.0,3655.0,14.7,29.0,101.5,24.0,36.0,248.0,3655.0,14.7,29.0,101.5,24.0
2014,Jordan Matthews,WR,23.0,21.0,81.0,Vanderbilt,6.1,6-3,212.0,4.46,35.5,21.0,120.0,6.95,4.18,51.0,262.0,3759.0,14.3,24.0,73.7,9.0,51.0,262.0,3759.0,14.3,24.0,73.7,9.0,51.0,262.0,3759.0,14.3,24.0,73.7,9.0,51.0,262.0,3759.0,14.3,24.0,73.7,9.0,51.0,262.0,3759.0,14.3,24.0,73.7,9.0,51.0,262.0,3759.0,14.3,24.0,73.7,9.0
2014,Paul Richardson,WR,14.0,11.0,64.0,Colorado,5.8,6-0,175.0,4.4,38.0,,124.0,7.09,,33.0,156.0,2412.0,15.5,21.0,73.1,9.0,33.0,156.0,2412.0,15.5,21.0,73.1,9.0,33.0,156.0,2412.0,15.5,21.0,73.1,9.0,33.0,156.0,2412.0,15.5,21.0,73.1,9.0,33.0,156.0,2412.0,15.5,21.0,73.1,9.0,33.0,156.0,2412.0,15.5,21.0,73.1,9.0
2014,Davante Adams,WR,89.0,60.0,164.0,Fresno St.,6.4,6-1,212.0,4.56,39.5,14.0,123.0,6.82,4.3,26.0,233.0,3031.0,13.0,38.0,116.6,0.0,26.0,233.0,3031.0,13.0,38.0,116.6,0.0,26.0,233.0,3031.0,13.0,38.0,116.6,0.0,26.0,233.0,3031.0,13.0,38.0,116.6,0.0,26.0,233.0,3031.0,13.0,38.0,116.6,0.0,26.0,233.0,3031.0,13.0,38.0,116.6,0.0
2014,Cody Latimer,WR,6.0,3.0,66.0,Indiana,5.8,6-2,215.0,4.52,,23.0,,,,32.0,135.0,2042.0,15.1,17.0,63.8,2.0,32.0,135.0,2042.0,15.1,17.0,63.8,2.0,32.0,135.0,2042.0,15.1,17.0,63.8,2.0,32.0,135.0,2042.0,15.1,17.0,63.8,2.0,32.0,135.0,2042.0,15.1,17.0,63.8,2.0,32.0,135.0,2042.0,15.1,17.0,63.8,2.0
