Draft_Year,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Pass_Cmp,Pass_Att,Pass_Yds,Pass_TD,Pass_Int,Rush_Att,Rush_Yds,Rush_TD,Receive_Rec,Receive_Yds,Receive_TD,Solo,Int,Sk,College_Univ,College Stats,Prospect_Grade,College Stats URL,,
2014,1,1,HOU,Jadeveon Clowney,DE,21,2024,0,3,10,62,38,140,0,0,0,0,0,0,0,0,0,0,0,272,1,58,South Carolina,College Stats,7.5,http://www.sports-reference.com/cfb/players/jadeveon-clowney-1.html,,
2014,1,2,STL,Greg Robinson,T,21,2019,0,0,5,24,13,83,0,0,0,0,0,0,0,0,0,0,0,,,,Auburn,College Stats,7,http://www.sports-reference.com/cfb/players/greg-robinson-3.html,,
2014,1,3,JAX,Blake Bortles,QB,22,2019,0,0,5,44,44,78,1562,2634,17649,103,75,283,1766,8,1,20,1,,,,Central Florida,College Stats,6.8,http://www.sports-reference.com/cfb/players/blake-bortles-1.html,,
2014,1,4,BUF,Sammy Watkins,WR,21,2022,0,0,6,43,20,111,0,1,0,0,1,11,76,0,364,5384,34,1,,,Clemson,College Stats,7.1,http://www.sports-reference.com/cfb/players/sammy-watkins-1.html,,
2014,1,5,OAK,Khalil Mack,LB,23,2024,3,9,10,102,41,167,0,0,0,0,0,0,0,0,0,0,0,462,3,107.5,Buffalo,College Stats,7,http://www.sports-reference.com/cfb/players/khalil-mack-1.html,,
2014,1,6,ATL,Jake Matthews,T,22,2024,0,1,11,72,72,179,0,0,0,0,0,0,0,0,0,0,0,,,,Texas A&M,College Stats,7,http://www.sports-reference.com/cfb/players/jake-matthews-2.html,,
2014,1,7,TAM,Mike Evans,WR,21,2024,0,6,11,79,79,168,0,0,0,0,0,1,10,0,836,12684,105,5,,,Texas A&M,College Stats,6.7,http://www.sports-reference.com/cfb/players/mike-evans-4.html,,
2014,1,8,CLE,Justin Gilbert,DB,22,2016,0,0,0,4,3,35,0,0,0,0,0,0,0,0,0,0,0,36,1,,Oklahoma St.,College Stats,6.8,http://www.sports-reference.com/cfb/players/justin-gilbert-1.html,,
2014,1,9,MIN,Anthony Barr,LB,22,2023,0,4,7,56,52,116,0,0,0,0,0,0,0,0,0,0,0,371,5,18.5,UCLA,College Stats,7,http://www.sports-reference.com/cfb/players/anthony-barr-1.html,,
2014,1,10,DET,Eric Ebron,TE,21,2021,0,1,4,29,15,106,0,1,0,0,0,5,-6,3,351,3837,33,,,,North Carolina,College Stats,6.8,http://www.sports-reference.com/cfb/players/eric-ebron-1.html,,
2014,1,11,TEN,Taylor Lewan,T,23,2022,0,3,7,48,48,105,0,0,0,0,0,0,0,0,1,10,1,,,,Michigan,College Stats,6.7,http://www.sports-reference.com/cfb/players/taylor-lewan-1.html,,
2014,1,12,NYG,Odell Beckham Jr.,WR,21,2024,0,3,6,59,41,119,4,6,144,2,0,23,170,1,575,7987,59,3,,,LSU,College Stats,6.4,http://www.sports-reference.com/cfb/players/odell-beckham-jr-1.html,,
2014,1,13,STL,Aaron Donald,DT,23,2023,8,10,10,123,123,154,0,0,0,0,0,0,0,0,0,0,0,340,,111,Pittsburgh,College Stats,5.9,http://www.sports-reference.com/cfb/players/aaron-donald-1.html,,
2014,1,14,CHI,Kyle Fuller,DB,22,2022,1,2,5,48,45,113,0,0,0,0,0,0,0,0,0,0,0,371,19,,Virginia Tech,College Stats,5.9,http://www.sports-reference.com/cfb/players/kyle-fuller-1.html,,
2014,1,15,PIT,Ryan Shazier,LB,22,2017,0,2,3,27,27,46,0,0,0,0,0,0,0,0,0,0,0,202,7,7,Ohio St.,College Stats,6.7,http://www.sports-reference.com/cfb/players/ryan-shazier-1.html,,
2014,1,16,DAL,Zack Martin,G,23,2024,7,9,11,103,103,162,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame,College Stats,6.4,http://www.sports-reference.com/cfb/players/zack-martin-1.html,,
