Player,Pos,College Stats URL
Jadeveon Clowney,DE,http://www.sports-reference.com/cfb/players/jadeveon-clowney-1.html
Greg Robinson,T,http://www.sports-reference.com/cfb/players/greg-robinson-3.html
Khalil Mack,LB,http://www.sports-reference.com/cfb/players/khalil-mack-1.html
Jake Matthews,T,http://www.sports-reference.com/cfb/players/jake-matthews-2.html
Justin Gilbert,DB,http://www.sports-reference.com/cfb/players/justin-gilbert-1.html
Anthony Barr,LB,http://www.sports-reference.com/cfb/players/anthony-barr-1.html
Taylor Lewan,T,http://www.sports-reference.com/cfb/players/taylor-lewan-1.html
Aaron Donald,DT,http://www.sports-reference.com/cfb/players/aaron-donald-1.html
Kyle Fuller,DB,http://www.sports-reference.com/cfb/players/kyle-fuller-1.html
Ryan Shazier,LB,http://www.sports-reference.com/cfb/players/ryan-shazier-1.html
Zack Martin,G,http://www.sports-reference.com/cfb/players/zack-martin-1.html
C.J. Mosley,LB,http://www.sports-reference.com/cfb/players/cj-mosley-1.html
Calvin Pryor,DB,http://www.sports-reference.com/cfb/players/calvin-pryor-1.html
Ja'Wuan James,T,http://www.sports-reference.com/cfb/players/jawuan-james-1.html
Ha Ha Clinton-Dix,DB,http://www.sports-reference.com/cfb/players/ha-ha-clinton-dix-1.html
Dee Ford,LB,http://www.sports-reference.com/cfb/players/dee-ford-1.html
Darqueze Dennard,DB,http://www.sports-reference.com/cfb/players/darqueze-dennard-1.html
Jason Verrett,DB,http://www.sports-reference.com/cfb/players/jason-verrett-1.html
Marcus Smith,LB,http://www.sports-reference.com/cfb/players/marcus-smith-6.html
Deone Bucannon,DB,http://www.sports-reference.com/cfb/players/deone-bucannon-1.html
Dominique Easley,DT,http://www.sports-reference.com/cfb/players/dominique-easley-1.html
Jimmie Ward,DB,http://www.sports-reference.com/cfb/players/jimmie-ward-1.html
Bradley Roby,DB,http://www.sports-reference.com/cfb/players/bradley-roby-1.html
Xavier Su'a-Filo,G,http://www.sports-reference.com/cfb/players/xavier-sua-filo-1.html
DeMarcus Lawrence,DE,http://www.sports-reference.com/cfb/players/demarcus-lawrence-1.html
Joel Bitonio,G,http://www.sports-reference.com/cfb/players/joel-bitonio-1.html
Ra'Shede Hageman,DT,http://www.sports-reference.com/cfb/players/rashede-hageman-1.html
Kyle Van Noy,LB,http://www.sports-reference.com/cfb/players/kyle-van-noy-1.html
Lamarcus Joyner,DB,http://www.sports-reference.com/cfb/players/lamarcus-joyner-1.html
Weston Richburg,OL,http://www.sports-reference.com/cfb/players/weston-richburg-1.html
Cyrus Kouandjio,T,http://www.sports-reference.com/cfb/players/cyrus-kouandjio-1.html
Stephon Tuitt,DE,http://www.sports-reference.com/cfb/players/stephon-tuitt-1.html
Trent Murphy,LB,http://www.sports-reference.com/cfb/players/trent-murphy-1.html
Timmy Jernigan,DT,http://www.sports-reference.com/cfb/players/timmy-jernigan-1.html
Jeremiah Attaochu,LB,http://www.sports-reference.com/cfb/players/jeremiah-attaochu-1.html
Ego Ferguson,DT,http://www.sports-reference.com/cfb/players/ego-ferguson-1.html
Stanley Jean-Baptiste,DB,http://www.sports-reference.com/cfb/players/stanley-jean-baptiste-1.html
Jack Mewhort,T,http://www.sports-reference.com/cfb/players/jack-mewhort-1.html
Kony Ealy,DE,http://www.sports-reference.com/cfb/players/kony-ealy-1.html
Justin Britt,T,http://www.sports-reference.com/cfb/players/justin-britt-2.html
Dante Fowler,OLB,http://www.sports-reference.com/cfb/players/dante-fowler-jr-1.html
Brandon Scherff,T,http://www.sports-reference.com/cfb/players/brandon-scherff-1.html
Leonard Williams,DE,http://www.sports-reference.com/cfb/players/leonard-williams-1.html
Vic Beasley,OLB,http://www.sports-reference.com/cfb/players/vic-beasley-1.html
Ereck Flowers,T,http://www.sports-reference.com/cfb/players/ereck-flowers-1.html
Trae Waynes,CB,http://www.sports-reference.com/cfb/players/trae-waynes-1.html
Danny Shelton,NT,http://www.sports-reference.com/cfb/players/danny-shelton-1.html
Andrus Peat,T,http://www.sports-reference.com/cfb/players/andrus-peat-1.html
Kevin Johnson,CB,http://www.sports-reference.com/cfb/players/kevin-johnson-7.html
