Player,Pos,College Stats URL
Blake Bortles,QB,http://www.sports-reference.com/cfb/players/blake-bortles-1.html
Johnny Manziel,QB,http://www.sports-reference.com/cfb/players/johnny-manziel-1.html
Teddy Bridgewater,QB,http://www.sports-reference.com/cfb/players/teddy-bridgewater-1.html
Derek Carr,QB,http://www.sports-reference.com/cfb/players/derek-carr-1.html
Jameis Winston,QB,http://www.sports-reference.com/cfb/players/jameis-winston-1.html
Marcus Mariota,QB,http://www.sports-reference.com/cfb/players/marcus-mariota-1.html
Jared Goff,QB,http://www.sports-reference.com/cfb/players/jared-goff-1.html
Carson Wentz,QB,http://www.sports-reference.com/cfb/players/carson-wentz-1.html
Paxton Lynch,QB,http://www.sports-reference.com/cfb/players/paxton-lynch-1.html
Christian Hackenberg,QB,http://www.sports-reference.com/cfb/players/christian-hackenberg-1.html
Mitchell Trubisky,QB,http://www.sports-reference.com/cfb/players/mitch-trubisky-1.html
Patrick Mahomes,QB,http://www.sports-reference.com/cfb/players/patrick-mahomes-1.html
Deshaun Watson,QB,http://www.sports-reference.com/cfb/players/deshaun-watson-1.html
DeShone Kizer,QB,http://www.sports-reference.com/cfb/players/deshone-kizer-1.html
Baker Mayfield,QB,http://www.sports-reference.com/cfb/players/baker-mayfield-1.html
Sam Darnold,QB,http://www.sports-reference.com/cfb/players/sam-darnold-1.html
Josh Allen,QB,http://www.sports-reference.com/cfb/players/josh-allen-7.html
Josh Rosen,QB,http://www.sports-reference.com/cfb/players/josh-rosen-1.html
Lamar Jackson,QB,http://www.sports-reference.com/cfb/players/lamar-jackson-1.html
Kyler Murray,QB,http://www.sports-reference.com/cfb/players/kyler-murray-1.html
Daniel Jones,QB,http://www.sports-reference.com/cfb/players/daniel-jones-4.html
Dwayne Haskins,QB,http://www.sports-reference.com/cfb/players/dwayne-haskins-1.html
Drew Lock,QB,http://www.sports-reference.com/cfb/players/drew-lock-1.html
Joe Burrow,QB,http://www.sports-reference.com/cfb/players/joe-burrow-1.html
Tua Tagovailoa,QB,http://www.sports-reference.com/cfb/players/tua-tagovailoa-1.html
Justin Herbert,QB,http://www.sports-reference.com/cfb/players/justin-herbert-1.html
Jordan Love,QB,http://www.sports-reference.com/cfb/players/jordan-love-2.html
Jalen Hurts,QB,http://www.sports-reference.com/cfb/players/jalen-hurts-1.html
Trevor Lawrence,QB,http://www.sports-reference.com/cfb/players/trevor-lawrence-1.html
Zach Wilson,QB,http://www.sports-reference.com/cfb/players/zach-wilson-3.html
Trey Lance,QB,http://www.sports-reference.com/cfb/players/trey-lance-1.html
Justin Fields,QB,http://www.sports-reference.com/cfb/players/justin-fields-2.html
Mac Jones,QB,http://www.sports-reference.com/cfb/players/mac-jones-1.html
Kyle Trask,QB,http://www.sports-reference.com/cfb/players/kyle-trask-1.html
Kenny Pickett,QB,http://www.sports-reference.com/cfb/players/kenny-pickett-1.html
Bryce Young,QB,http://www.sports-reference.com/cfb/players/bryce-young-1.html
C.J. Stroud,QB,http://www.sports-reference.com/cfb/players/cj-stroud-1.html
Anthony Richardson,QB,http://www.sports-reference.com/cfb/players/anthony-richardson-2.html
Will Levis,QB,http://www.sports-reference.com/cfb/players/will-levis-1.html
Caleb Williams,QB,http://www.sports-reference.com/cfb/players/caleb-williams-3.html
Jayden Daniels,QB,http://www.sports-reference.com/cfb/players/jayden-daniels-1.html
Drake Maye,QB,http://www.sports-reference.com/cfb/players/drake-maye-1.html
Michael Penix,QB,http://www.sports-reference.com/cfb/players/michael-penix-jr-1.html
J.J. McCarthy,QB,http://www.sports-reference.com/cfb/players/jj-mccarthy-1.html
Bo Nix,QB,http://www.sports-reference.com/cfb/players/bo-nix-1.html
