Player,Pos,College Stats URL
Sammy Watkins,WR,http://www.sports-reference.com/cfb/players/sammy-watkins-1.html
Mike Evans,WR,http://www.sports-reference.com/cfb/players/mike-evans-4.html
Eric Ebron,TE,http://www.sports-reference.com/cfb/players/eric-ebron-1.html
Odell Beckham Jr.,WR,http://www.sports-reference.com/cfb/players/odell-beckham-jr-1.html
Brandin Cooks,WR,http://www.sports-reference.com/cfb/players/brandin-cooks-1.html
Kelvin Benjamin,WR,http://www.sports-reference.com/cfb/players/kelvin-benjamin-1.html
Austin Seferian-Jenkins,TE,http://www.sports-reference.com/cfb/players/austin-seferian-jenkins-1.html
Marqise Lee,WR,http://www.sports-reference.com/cfb/players/marqise-lee-1.html
Jordan Matthews,WR,http://www.sports-reference.com/cfb/players/jordan-matthews-1.html
Paul Richardson,WR,http://www.sports-reference.com/cfb/players/paul-richardson-1.html
Jace Amaro,TE,http://www.sports-reference.com/cfb/players/jace-amaro-1.html
Troy Niklas,TE,http://www.sports-reference.com/cfb/players/troy-niklas-1.html
Davante Adams,WR,http://www.sports-reference.com/cfb/players/davante-adams-1.html
Cody Latimer,WR,http://www.sports-reference.com/cfb/players/cody-latimer-1.html
Allen Robinson,WR,http://www.sports-reference.com/cfb/players/allen-robinson-1.html
Jarvis Landry,WR,http://www.sports-reference.com/cfb/players/jarvis-landry-1.html
Amari Cooper,WR,http://www.sports-reference.com/cfb/players/amari-cooper-1.html
Kevin White,WR,http://www.sports-reference.com/cfb/players/kevin-white-6.html
DeVante Parker,WR,http://www.sports-reference.com/cfb/players/devante-parker-1.html
Nelson Agholor,WR,http://www.sports-reference.com/cfb/players/nelson-agholor-1.html
Breshad Perriman,WR,http://www.sports-reference.com/cfb/players/breshad-perriman-1.html
Phillip Dorsett,WR,http://www.sports-reference.com/cfb/players/phillip-dorsett-1.html
Devin Smith,WR,http://www.sports-reference.com/cfb/players/devin-smith-2.html
Dorial Green-Beckham,WR,http://www.sports-reference.com/cfb/players/dorial-green-beckham-1.html
Devin Funchess,TE,http://www.sports-reference.com/cfb/players/devin-funchess-1.html
Maxx Williams,TE,http://www.sports-reference.com/cfb/players/maxx-williams-1.html
Corey Coleman,WR,http://www.sports-reference.com/cfb/players/corey-coleman-1.html
Will Fuller,WR,http://www.sports-reference.com/cfb/players/william-fuller-2.html
Josh Doctson,WR,http://www.sports-reference.com/cfb/players/josh-doctson-1.html
Laquon Treadwell,WR,http://www.sports-reference.com/cfb/players/laquon-treadwell-1.html
Hunter Henry,TE,http://www.sports-reference.com/cfb/players/hunter-henry-1.html
Sterling Shepard,WR,http://www.sports-reference.com/cfb/players/sterling-shepard-1.html
Michael Thomas,WR,http://www.sports-reference.com/cfb/players/michael-thomas-3.html
Tyler Boyd,WR,http://www.sports-reference.com/cfb/players/tyler-boyd-1.html
Corey Davis,WR,http://www.sports-reference.com/cfb/players/corey-davis-3.html
Mike Williams,WR,http://www.sports-reference.com/cfb/players/mike-williams-17.html
John Ross,WR,http://www.sports-reference.com/cfb/players/john-ross-1.html
O.J. Howard,TE,http://www.sports-reference.com/cfb/players/oj-howard-1.html
Evan Engram,TE,http://www.sports-reference.com/cfb/players/evan-engram-1.html
David Njoku,TE,http://www.sports-reference.com/cfb/players/david-njoku-1.html
Zay Jones,WR,http://www.sports-reference.com/cfb/players/isaiah-jones-2.html
Curtis Samuel,WR,http://www.sports-reference.com/cfb/players/curtis-samuel-1.html
Gerald Everett,TE,http://www.sports-reference.com/cfb/players/gerald-everett-1.html
JuJu Smith-Schuster,WR,http://www.sports-reference.com/cfb/players/juju-smith-1.html
D.J. Moore,WR,http://www.sports-reference.com/cfb/players/dj-moore-3.html
Hayden Hurst,TE,http://www.sports-reference.com/cfb/players/hayden-hurst-1.html
Calvin Ridley,WR,http://www.sports-reference.com/cfb/players/calvin-ridley-1.html
Courtland Sutton,WR,http://www.sports-reference.com/cfb/players/courtland-sutton-1.html
Mike Gesicki,TE,http://www.sports-reference.com/cfb/players/mike-gesicki-1.html
