Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player
2018,Indiana,Big Ten,FR,QB,3.0,21.0,34.0,61.8,219.0,1.0,2.9,0.0,0.0,6.4,7.03,10.4,73.0,125.6,,Michael Penix
2019*,Indiana,Big Ten,FR,QB,6.0,110.0,160.0,68.8,1394.0,10.0,6.3,4.0,2.5,8.7,8.84,12.7,232.3,157.6,,Michael Penix
2020*,Indiana,Big Ten,SO,QB,6.0,124.0,220.0,56.4,1645.0,14.0,6.4,4.0,1.8,7.5,7.93,13.3,274.2,136.5,,Michael Penix
2021,Indiana,Big Ten,JR,QB,5.0,87.0,162.0,53.7,939.0,4.0,2.5,7.0,4.3,5.8,4.35,10.8,187.8,101.9,,Michael Penix
2022*,Washington,Pac-12,JR,QB,13.0,362.0,554.0,65.3,4641.0,31.0,5.6,8.0,1.4,8.4,8.85,12.8,357.0,151.3,H-8,Michael Penix
2023*,Washington,Pac-12,SR,QB,15.0,363.0,555.0,65.4,4903.0,36.0,6.5,11.0,2.0,8.8,9.24,13.5,326.9,157.1,H-2Maxwell,Michael Penix
Career,Career,Career,Career,QB,48.0,1067.0,1685.0,63.3,13741.0,96.0,5.7,34.0,2.0,8.2,8.39,12.9,286.3,146.6,,Michael Penix
,,,,QB,,,,,,,,,,,,,,,,Michael Penix
Indiana (4 Yrs),Indiana (4 Yrs),Indiana (4 Yrs),Indiana (4 Yrs),QB,20.0,342.0,576.0,59.4,4197.0,29.0,5.0,15.0,2.6,7.3,7.12,12.3,209.9,132.0,,Michael Penix
Washington (2 Yrs),Washington (2 Yrs),Washington (2 Yrs),Washington (2 Yrs),QB,28.0,725.0,1109.0,65.4,9544.0,67.0,6.0,19.0,1.7,8.6,9.04,13.2,340.9,154.2,,Michael Penix
